site,year,season,n_days,mean_mda8,p90_mda8
橋頭,2024,summer,92,33.12996247412007,50.077499999999986
橋頭,2024,winter,91,49.98030481423337,63.99999999999999
橋頭,2025,autumn,91,50.51923731030873,66.92499999999998
橋頭,2025,spring,92,49.51161361283643,71.32
橋頭,2025,summer,92,36.67126682194616,53.193749999999994
橋頭,2025,winter,90,48.04025793650793,60.14375
美濃,2018,autumn,91,57.732182103610675,75.94999999999999
美濃,2018,spring,92,57.435358436853,75.92750000000001
美濃,2018,summer,92,38.53607013457557,53.65500000000001
美濃,2018,winter,90,49.26276455026455,65.4625
美濃,2019,autumn,91,63.12181449502878,79.17500000000001
美濃,2019,spring,92,47.73303571428571,64.195
美濃,2019,summer,91,34.02482993197279,50.6125
美濃,2019,winter,90,49.53007275132275,63.61160714285716
美濃,2020,autumn,91,59.70117085295656,73.69999999999999
美濃,2020,spring,92,56.46292054865424,77.41125
美濃,2020,summer,92,36.58291278467908,46.46000000000001
美濃,2020,winter,91,52.23075614861329,66.2125
美濃,2021,autumn,91,55.03099816849816,72.27499999999998
美濃,2021,spring,92,56.85062111801241,75.2175
美濃,2021,summer,92,36.81515269151137,48.94999999999999
美濃,2021,winter,90,57.49850529100528,74.78232142857145
美濃,2022,autumn,91,56.33438644688643,68.33749999999998
美濃,2022,spring,92,54.30983436853001,74.76999999999998
美濃,2022,summer,92,37.40053053830226,49.538749999999986
美濃,2022,winter,90,47.072982804232794,59.85875000000001
美濃,2023,autumn,90,56.22247354497353,73.17499999999998
美濃,2023,spring,92,61.76140010351965,77.30446428571426
美濃,2023,summer,92,36.831049430641805,48.774999999999984
美濃,2023,winter,90,51.682493386243365,65.89249999999998
美濃,2024,autumn,91,49.07443092621663,61.67499999999998
美濃,2024,spring,92,57.15409549689439,76.11874999999999
美濃,2024,summer,92,38.599728260869554,51.70910714285713
美濃,2024,winter,91,53.751870748299304,67.65714285714283
美濃,2025,autumn,91,50.83435374149658,67.08749999999998
美濃,2025,spring,92,54.914654503105574,75.73624999999998
美濃,2025,summer,92,37.34679736024843,50.77124999999999
美濃,2025,winter,90,49.733386243386235,62.87624999999999
鳳山,2018,autumn,91,58.803375196232345,77.2875
鳳山,2018,spring,92,45.495348084886125,67.20375000000001
鳳山,2018,summer,92,34.100860507246374,52.275
鳳山,2018,winter,90,43.60672619047619,65.535
鳳山,2019,autumn,91,63.76050497121924,81.85714285714285
鳳山,2019,spring,92,51.13292572463767,73.0475
鳳山,2019,summer,92,31.52401656314699,51.39875
鳳山,2019,winter,90,48.68928571428571,67.08982142857143
鳳山,2020,autumn,91,60.162356096284654,75.87499999999999
鳳山,2020,spring,92,52.39131728778466,76.1575
鳳山,2020,summer,92,31.101190476190453,52.95624999999998
鳳山,2020,winter,88,50.16015963203461,68.89374999999998
鳳山,2021,autumn,91,45.81938121402405,63.13749999999998
鳳山,2021,spring,92,45.48054477225671,66.88624999999998
鳳山,2021,summer,92,29.390612060041395,41.2325
鳳山,2021,winter,90,42.9641931216931,59.43
鳳山,2022,autumn,91,51.90836603872316,65.37499999999999
鳳山,2022,spring,92,43.97052924430639,63.27124999999998
鳳山,2022,summer,91,26.45686159079014,41.88749999999998
鳳山,2022,winter,90,37.01533068783067,49.85124999999998
鳳山,2023,autumn,91,48.6065672422815,66.94999999999997
鳳山,2023,spring,92,49.60089932712213,63.85124999999997
鳳山,2023,summer,92,27.415980848861256,41.90874999999998
鳳山,2023,winter,90,40.445436507936485,54.76875
鳳山,2024,autumn,91,45.60289769754053,60.33749999999998
鳳山,2024,spring,92,46.942889492753594,69.36124999999997
鳳山,2024,summer,92,30.71072075569355,48.99874999999997
鳳山,2024,winter,91,44.30936682365251,57.72499999999997
鳳山,2025,autumn,91,47.44239926739924,64.68749999999997
鳳山,2025,spring,92,46.126015786749456,67.89499999999998
鳳山,2025,summer,92,32.54273421325049,51.528749999999974
鳳山,2025,winter,90,43.227083333333304,54.88749999999997
